Klas;Voornaam;Naam;Geslacht;Geboortedatum;Attesteringen;Specifieke attesten;Opmerkingen;Niet behaalde minimumdoelen (enkel B-stroom)
2A;Alina;Yilmaz;V;2011-02-02;Getuigschrift basisonderwijs;Dyscalculie;Geen bijzonderheden;—
2A;Mehdi;Mertens;M;2011-03-03;Getuigschrift basisonderwijs;;Geen bijzonderheden;—
2A;Zoë;Haddad;V;2011-04-04;Getuigschrift basisonderwijs;ADHD;Geen bijzonderheden;—
2A;Thomas;De Smet;M;2011-05-05;Getuigschrift basisonderwijs;;Geen bijzonderheden;—
2A;Olena;Vermeulen;V;2011-06-06;Getuigschrift basisonderwijs;Dyslexie, OCD;Geen bijzonderheden;—
2A;Bram;Yilmaz;M;2011-07-07;Getuigschrift basisonderwijs;;Geen bijzonderheden;—
2A;Olena;Van Acker;V;2011-08-08;Getuigschrift basisonderwijs;Dyslexie;Komt uit andere school;—
2A;Niels;Claes;M;2011-09-09;Getuigschrift basisonderwijs;ADHD, ASS;Geen bijzonderheden;—
2A;Aylin;Popescu;V;2011-01-10;Getuigschrift basisonderwijs;Dyscalculie;Geen bijzonderheden;—
2A;Nikolai;Van Acker;M;2011-02-11;Getuigschrift basisonderwijs;;Geen bijzonderheden;—
2A;Hanna;Novak;V;2011-03-12;Getuigschrift basisonderwijs;;Geen bijzonderheden;—
2A;Elias;Peeters;M;2011-04-13;Getuigschrift basisonderwijs;ADHD;Geen bijzonderheden;—
2A;Olena;De Smet;V;2011-05-14;Getuigschrift basisonderwijs;;Geen bijzonderheden;—
2A;Daan;Verbeeck;M;2011-06-15;Getuigschrift basisonderwijs;;Komt uit andere school;—
2A;Leyla;De Clercq;V;2011-07-16;Getuigschrift basisonderwijs;ADHD, Dyslexie;Geen bijzonderheden;—
;Bram;Janssens;M;;;;;
;Amina;Jacobs;V;;;Dyscalculie;;
;Arne;Petrova;M;;;Dyscalculie, OCD;;
;Elif;Nowak;V;;;;;
;Niels;De Vos;M;;;ADHD, ASS;;
;Hanne;Cuypers;V;;;;;
;Kenan;Van Dijk;M;;;ADHD;;
;Zoë;Goossens;V;;;;;
;Arne;De Vos;M;;;Dyslexie, OCD;;
;Elif;De Smet;V;;;;;
